program,function,names,circuit,circuit_name,circuit_members,function_main_width,circuit_main_width,canonical_seed_words,canonical_seed_bytes,guarded_u8_seed_bytes_estimate,function_expansion_canonical,circuit_expansion_canonical,static_operation_sites,static_external_read_sites,preparation_arithmetic_sites,row_operation_sites,real_rows
ixvm,615,check_valid_ind_app,58,ixvm_group_37,11,23,79,22,176,32,1.045455,3.590909,13,5,0,5,
ixvm,616,check_positivity_aug,81,ixvm_group_56,6,44,76,36,288,48,1.222222,2.111111,26,16,2,16,
ixvm,617,check_nested_ctors_positivity,85,ixvm_group_60,9,29,65,26,208,40,1.115385,2.500000,17,6,6,7,
ixvm,618,check_positivity_fields,95,ixvm_group_68,7,12,53,10,80,24,1.200000,5.300000,5,2,1,2,
ixvm,619,check_positivity,95,ixvm_group_68,7,10,53,9,72,16,1.111111,5.888889,8,3,3,3,
ixvm,620,check_inductive_shape,19,ixvm_group_11,11,12,56,11,88,24,1.090909,5.090909,7,2,3,2,
ixvm,621,check_inductive_shape_ctors,65,ixvm_group_40,7,31,58,26,208,40,1.192308,2.230769,19,4,3,5,
ixvm,622,check_parent_inductive_shape,48,ixvm_group_30,11,16,52,13,104,24,1.230769,4.000000,1,0,0,0,
ixvm,623,check_block_peer_param_agreement,27,ixvm_group_19,12,69,103,63,504,72,1.095238,1.634921,4,2,0,2,
ixvm,624,peer_agree_walk,1,ixvm_group_01,11,81,122,73,584,80,1.109589,1.671233,32,8,8,10,
ixvm,625,is_large_eliminator,58,ixvm_group_37,11,32,79,20,160,32,1.600000,3.950000,12,3,2,3,
ixvm,626,check_large_prop_ctor,86,ixvm_group_61,9,15,54,11,88,24,1.363636,4.909091,12,5,3,5,
ixvm,627,check_large_walk_fields,85,ixvm_group_60,9,24,65,16,128,24,1.500000,4.062500,22,9,10,12,
ixvm,628,all_bvars_in_args,66,ixvm_group_41,11,12,55,8,64,16,1.500000,6.875000,5,3,0,3,
ixvm,629,args_contain_bvar,66,ixvm_group_41,11,16,55,11,88,24,1.454545,5.000000,7,4,1,5,
ixvm,630,compute_k_target,58,ixvm_group_37,11,42,79,32,256,40,1.312500,2.468750,19,7,6,8,
ixvm,631,ind_is_solo,1,ixvm_group_01,11,57,122,53,424,64,1.075472,2.301887,6,3,0,3,
ixvm,632,is_muts_block,9,ixvm_group_06,8,53,79,50,400,64,1.060000,1.580000,3,1,0,1,
ixvm,633,muts_indc_count_is_one,9,ixvm_group_06,8,56,79,51,408,64,1.098039,1.549020,7,3,0,3,
ixvm,634,rec_to_parent_addr,31,ixvm_group_23,14,18,45,17,136,24,1.058824,2.647059,7,4,3,4,
ixvm,635,extract_aux_occ_us,26,ixvm_group_18,16,30,101,25,200,32,1.200000,4.040000,16,7,9,7,
ixvm,636,extract_aux_spec_params,87,ixvm_group_62,10,17,56,16,128,24,1.062500,3.500000,10,5,3,5,
ixvm,637,spec_params_lower,87,ixvm_group_62,10,12,56,10,80,24,1.200000,5.600000,13,6,5,6,
ixvm,638,build_param_lvls_range,61,ixvm_group_39,13,10,40,7,56,16,1.428571,5.714286,13,4,9,5,
ixvm,640,flat_originals_walk,1,ixvm_group_01,11,78,122,71,568,80,1.098592,1.718310,22,10,10,11,
ixvm,641,aux_already_in,20,ixvm_group_12,16,19,106,13,104,24,1.461538,8.153846,8,6,0,6,
ixvm,642,kexpr_struct_eq,83,ixvm_group_58,5,43,55,14,112,24,3.071429,3.928571,48,25,2,28,
ixvm,643,level_list_struct_eq,21,ixvm_group_13,15,16,58,11,88,24,1.454545,5.272727,9,5,0,5,
ixvm,644,spec_params_ptr_eq,21,ixvm_group_13,15,16,58,11,88,24,1.454545,5.272727,9,5,0,5,
ixvm,645,extract_aux_spec_params_from_rec,18,ixvm_group_10,16,18,63,15,120,24,1.200000,4.200000,4,2,2,2,
ixvm,647,first_recr_parent_block,17,ixvm_group_09,11,87,169,81,648,88,1.074074,2.086420,10,8,0,8,
ixvm,648,build_flat_block,10,ixvm_group_07,7,131,200,120,960,128,1.091667,1.666667,24,13,11,13,
ixvm,649,detect_aux_from_recrs_ex,26,ixvm_group_18,16,56,101,54,432,64,1.037037,1.870370,3,2,0,2,
ixvm,650,aux_from_recrs_walk_ex,84,ixvm_group_59,7,106,159,89,712,96,1.191011,1.786517,37,16,7,28,
ixvm,651,flat_find_pos,21,ixvm_group_13,15,17,58,13,104,24,1.307692,4.461538,8,3,0,3,
ixvm,652,flat_find_pos_kind,27,ixvm_group_19,12,29,103,16,128,24,1.812500,6.437500,15,4,6,10,
ixvm,653,flat_member_at,28,ixvm_group_20,15,17,57,13,104,24,1.307692,4.384615,44,5,36,5,
ixvm,654,subst_param_for,85,ixvm_group_60,9,24,65,7,56,16,3.428571,9.285714,15,4,11,5,
ixvm,655,peel_motive_params_subst,31,ixvm_group_23,14,17,45,14,112,24,1.214286,3.214286,9,4,1,4,
ixvm,656,collect_index_doms,28,ixvm_group_20,15,21,57,15,120,24,1.400000,3.800000,22,10,12,10,
ixvm,657,build_major_params,61,ixvm_group_39,13,11,40,8,64,16,1.375000,5.000000,14,3,9,4,
ixvm,658,apply_spec_params_lifted,87,ixvm_group_62,10,12,56,10,80,24,1.200000,5.600000,7,4,3,4,
ixvm,660,build_apply_xs;build_major_indices,61,ixvm_group_39,13,10,40,7,56,16,1.428571,5.714286,13,3,8,4,
ixvm,661,wrap_foralls,80,ixvm_group_55,9,10,43,8,64,16,1.250000,5.375000,5,3,2,3,
ixvm,662,collect_n_doms_whnf,28,ixvm_group_20,15,22,57,16,128,24,1.375000,3.562500,22,10,12,10,
ixvm,663,list_lift_indices,31,ixvm_group_23,14,12,45,10,80,24,1.200000,4.500000,10,5,5,5,
ixvm,665,apply_indices_in_conclusion,61,ixvm_group_39,13,10,40,7,56,16,1.428571,5.714286,11,3,6,4,
ixvm,666,build_motive_type_flat,58,ixvm_group_37,11,24,79,19,152,32,1.263158,4.157895,19,10,9,10,
ixvm,667,build_all_motives,48,ixvm_group_30,11,6,52,5,40,16,1.200000,10.400000,2,1,0,1,
ixvm,668,build_apply_bvars_decreasing;build_minor_apps;build_motive_apps,72,ixvm_group_47,12,11,54,8,64,16,1.375000,6.750000,11,3,6,4,
ixvm,669,wrap_lams,28,ixvm_group_20,15,10,57,8,64,16,1.250000,7.125000,5,3,2,3,
ixvm,670,build_rec_type,27,ixvm_group_19,12,31,103,28,224,40,1.107143,3.678571,6,5,1,5,
ixvm,671,build_rec_type_from,25,ixvm_group_17,6,58,136,53,424,64,1.094340,2.566038,58,27,31,27,
ixvm,672,check_recursor_canonical_full,25,ixvm_group_17,6,86,136,57,456,64,1.508772,2.385965,51,21,28,31,
ixvm,673,canonical_rules_at_pos,58,ixvm_group_37,11,32,79,31,248,40,1.032258,2.548387,19,9,4,9,
ixvm,674,ctors_before_pos,55,ixvm_group_36,9,32,74,24,192,32,1.333333,3.083333,11,4,3,6,
ixvm,675,populate_rules,8,ixvm_group_05,12,36,104,32,256,40,1.125000,3.250000,16,7,9,8,
ixvm,676,compare_rules,89,ixvm_group_63,10,53,112,37,296,48,1.432432,3.027027,27,8,8,9,
ixvm,677,apply_ihs_full,89,ixvm_group_63,10,44,112,42,336,56,1.047619,2.666667,95,25,68,25,
ixvm,678,build_rule_rhs,58,ixvm_group_37,11,29,79,28,224,40,1.035714,2.821429,34,11,22,11,
ixvm,679,build_peer_recs,31,ixvm_group_23,14,15,45,13,104,24,1.153846,3.461538,8,5,3,5,
ixvm,680,find_peer_recursor_with_spec,1,ixvm_group_01,11,57,122,55,440,64,1.036364,2.218182,3,2,0,2,
ixvm,681,find_peer_rec_spec_walk,84,ixvm_group_59,7,103,159,88,704,96,1.170455,1.806818,20,12,4,16,
ixvm,682,build_flat_own_params,27,ixvm_group_19,12,29,103,23,184,32,1.260870,4.478261,10,6,4,7,
